title,company,location,url,posted_date,job_type,eligibility,skills,source_id
GBT BuildStorm 2026,Go Beyond Tickets,Online,https://unstop.com/hackathons/gbt-buildstorm-2026-go-beyond-tickets-1719425,,Online,,"Software Development, Quizzes & Treasure Hunt, Everyone can apply",gbt-buildstorm-2026-go-beyond-tickets-1719425
BLACKBOX,"Vellore Institute of Technology (VIT), Chennai",Online,https://unstop.com/hackathons/blackbox-vellore-institute-of-technology-vit-chennai-1719341,,Open,,"Web Development, Quizzes & Treasure Hunt, Undergraduate, Postgraduate",blackbox-vellore-institute-of-technology-vit-chennai-1719341
H & P PROJECTS Hackathon Global Challenges 2026,H & P Projects,Online,https://unstop.com/hackathons/h-p-projects-hackathon-global-challenges-2026-h-p-projects-1719280,,Online,,"Quizzes & Treasure Hunt, Undergraduate, Postgraduate, Engineering Students",h-p-projects-hackathon-global-challenges-2026-h-p-projects-1719280
Code O'Clock 2K26,"Coimbatore Institute of Technology (CIT), Coimbatore",Online,https://unstop.com/hackathons/code-oclock-2k26-coimbatore-institute-of-technology-cit-coimbatore-1719235,,Open,,"Quizzes & Treasure Hunt, Undergraduate, Postgraduate",code-oclock-2k26-coimbatore-institute-of-technology-cit-coimbatore-1719235
Build With Bharat 2.0,"National Institute of Technology (NIT), Delhi",Online,https://unstop.com/hackathons/build-with-bharat-40-national-institute-of-technology-nit-delhi-1719203,,Open,,"Software Development, Quizzes & Treasure Hunt, Undergraduate, Postgraduate",build-with-bharat-40-national-institute-of-technology-nit-delhi-1719203
Evil Corp CTF 6 Hour Intense Hacking,Nexploit,Online,https://unstop.com/hackathons/evil-corp-ctf-6-hour-intense-hacking-nexploit-1719174,,Online,,"Quizzes & Treasure Hunt, Undergraduate, Postgraduate, Engineering Students",evil-corp-ctf-6-hour-intense-hacking-nexploit-1719174
Conquer AI Hackathon – Chapter 1,Conquer E- Learning,Online,https://unstop.com/hackathons/conquer-ai-hackathon-chapter-1-conquer-e-learning-1718767,,Online,,"Applied AI, Software Development, Undergraduate, Postgraduate",conquer-ai-hackathon-chapter-1-conquer-e-learning-1718767
CoLab Nation Prompt Engineering Challenge 2026,CoLab Nation,Online,https://unstop.com/hackathons/colab-nation-prompt-engineering-challenge-2026-colab-nation-1718349,,Online,,"Prompt Engineering, Quizzes & Treasure Hunt, Undergraduate, Postgraduate",colab-nation-prompt-engineering-challenge-2026-colab-nation-1718349
Credx Hiring Challenge 2.0,CredXHire,Online,https://unstop.com/hackathons/credx-hiring-challenge-20-credxhire-1718353,,Online,,"Software Development, Full Stack Development, Undergraduate",credx-hiring-challenge-20-credxhire-1718353
The Closer- FlytBase Hiring Hackathon,FlytBase Labs Pvt. Ltd.,Online,https://unstop.com/hackathons/the-closer-flytbase-hiring-hackathon-httpslifeatflytbasecomhiring-hackathon-flytbase-labs-pvt-ltd-1718144,,Online,,"B2B Sales, Business Development, Fresher",the-closer-flytbase-hiring-hackathon-httpslifeatflytbasecomhiring-hackathon-flytbase-labs-pvt-ltd-1718144
INNOVIK 6.0 : International Hackathon 2026,SheKunj,Online,https://unstop.com/hackathons/innovik-60-international-hackathon-2026-shekunj-1718207,,Open,,"Quizzes & Treasure Hunt, Everyone can apply",innovik-60-international-hackathon-2026-shekunj-1718207
ML Hackathon,"Indian Institute of Technology (IIT), Kharagpur",Online,https://unstop.com/hackathons/ml-hackathon-fugacity-2026-iit-kharagpur-1716679,,Online,,"Machine Learning Engineering, Quizzes & Treasure Hunt, Undergraduate, Postgraduate",ml-hackathon-fugacity-2026-iit-kharagpur-1716679
IDEATHON: Spark Before the Code,"Vasantdada Patil Pratishthan's College of Engineering and Visual Arts, Mumbai, Maharashtra",Online,https://unstop.com/hackathons/ideathon-spark-before-the-code-vasantdada-patil-pratishthans-college-of-engineering-and-visual-arts-mumbai-ma-1718428,,Open,,"Quizzes & Treasure Hunt, Undergraduate, Engineering Students",ideathon-spark-before-the-code-vasantdada-patil-pratishthans-college-of-engineering-and-visual-arts-mumbai-ma-1718428
PIXEL 3.0,"Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Avadi",Online,https://unstop.com/hackathons/pixel-30-vel-tech-rangarajan-dr-sagunthala-rd-institute-of-science-and-technology-avadi-1718359,,Online,,"Software Development, Undergraduate, Postgraduate, Engineering Students",pixel-30-vel-tech-rangarajan-dr-sagunthala-rd-institute-of-science-and-technology-avadi-1718359
Adobe University Hackathon 2026,Adobe,Online,https://unstop.com/hackathons/crp-adobe-university-hackathon-2026-adobe-1715333,,Online,,"Cloud Engineering, Artificial Intelligence, Applied AI",crp-adobe-university-hackathon-2026-adobe-1715333
NERDS 1.0 - India's First AI Hackathon For Schools,Kokos AI Pvt Ltd.,Online,https://unstop.com/hackathons/nerds-10-indias-first-ai-hackathon-for-schools-kokos-ai-pvt-ltd-1718104,,Open,,"Applied AI, Quizzes & Treasure Hunt, School Students",nerds-10-indias-first-ai-hackathon-for-schools-kokos-ai-pvt-ltd-1718104
Segue 3.0 : Global Design Thinking Challenge (Online + Offline),"Noida Institute of Engineering And Technology (NIET), Greater Noida",Online,https://unstop.com/hackathons/segue-30-global-design-thinking-challenge-online-offline-schooloffutureskillscomsegue-3-0-noida-institute-of--1712134,,Open,,"Product Design, Quizzes & Treasure Hunt",segue-30-global-design-thinking-challenge-online-offline-schooloffutureskillscomsegue-3-0-noida-institute-of--1712134
DEMUX 3.0,"BV Raju Institute of Technology, Narsapur (BVRIT-N)",Online,https://unstop.com/hackathons/demux-30-demux-30-bv-raju-institute-of-technology-narsapur-bvrit-n-1715858,,Open,,"Software Development, Undergraduate, Postgraduate, Engineering Students",demux-30-demux-30-bv-raju-institute-of-technology-narsapur-bvrit-n-1715858
DTI Ideathon & Hackathon 2026,Cloud Counselage,Online,https://unstop.com/hackathons/dti-ideathon-hackathon-2026-cloud-counselage-1717607,,Online,,"Founder’s Office, Quizzes & Treasure Hunt, Undergraduate, Postgraduate",dti-ideathon-hackathon-2026-cloud-counselage-1717607
S.T.E.M Jam,"Indian Institute of Technology (IIT), Guwahati",Online,https://unstop.com/hackathons/stem-jam-iit-guwahati-1711334,,Online,,"Quizzes & Treasure Hunt, Online Gaming & Esports",stem-jam-iit-guwahati-1711334
