title,company,location,url,posted_date,job_type,eligibility,skills,source_id
Customer Support Executive - International Voice Process,Hire8Global,In Office  |  Hyderabad,https://unstop.com/jobs/customer-support-executive-international-voice-process-hire8global-1718890,"Jul 15, 2026",Full Time,,"Customer Support, Fresher, Experienced Professionals",customer-support-executive-international-voice-process-hire8global-1718890
Store Inventory Executive,Refratex India Pvt. Ltd.,In Office  |  Ghaziabad,https://unstop.com/jobs/store-inventory-executive-refratex-india-pvt-ltd-1718757,"Jul 15, 2026",Full Time,,"Supply Chain Operations, Inventory Management, Fresher",store-inventory-executive-refratex-india-pvt-ltd-1718757
Merchandiser,Refratex India Pvt. Ltd.,In Office  |  Ghaziabad,https://unstop.com/jobs/merchandiser-refratex-india-pvt-ltd-1718772,"Jul 15, 2026",Full Time,,"Business Operations, Supply Chain Operations, Fresher",merchandiser-refratex-india-pvt-ltd-1718772
Real Estate Sales Specialist,Blanco Thornton Properties,In Office  |  Noida,https://unstop.com/jobs/real-estate-sales-specialist-blanco-thornton-properties-1718762,"Jul 15, 2026",Full Time,,"B2C Sales, Fresher, Experienced Professionals",real-estate-sales-specialist-blanco-thornton-properties-1718762
Business Development Executive,Cutibless Healthcare Pvt Ltd,In Office  |  Bangalore,https://unstop.com/jobs/business-development-executive-cutibless-healthcare-pvt-ltd-1718749,"Jul 15, 2026",Full Time,,"Field Sales, Business Development, Fresher",business-development-executive-cutibless-healthcare-pvt-ltd-1718749
Telecalling Executive,Cutibless Healthcare Pvt Ltd,In Office  |  Bangalore,https://unstop.com/jobs/telecalling-executive-cutibless-healthcare-pvt-ltd-1718735,"Jul 15, 2026",Full Time,,"Customer Support, Inside Sales, Fresher",telecalling-executive-cutibless-healthcare-pvt-ltd-1718735
BD / Pre Sales Associate,LeadUpAI,Work from Home  | Pan India,https://unstop.com/jobs/bd-pre-sales-associate-leadupai-1718731,"Jul 15, 2026",,,"Inside Sales, Business Development, Fresher",bd-pre-sales-associate-leadupai-1718731
Inside Sales Executive,Zyrax Fitness,Hybrid  |  Agra,https://unstop.com/jobs/inside-sales-executive-zyrax-fitness-1718723,"Jul 15, 2026",Full Time,,"Inside Sales, Fresher, Experienced Professionals",inside-sales-executive-zyrax-fitness-1718723
Content Creator,Brand Balance,In Office  |  Jaipur,https://unstop.com/jobs/content-creator-brand-balance-1718698,"Jul 15, 2026",Full Time,1 -,"Content Marketing, Fresher, Experienced Professionals",content-creator-brand-balance-1718698
Business Development Executive,Hive rift softwares Pvt ltd,In Office  |  Delhi,https://unstop.com/jobs/business-development-executive-hive-rift-softwares-pvt-ltd-1718619,"Jul 15, 2026",Full Time,1 -,"Business Development, Experienced Professionals, Fresher",business-development-executive-hive-rift-softwares-pvt-ltd-1718619
Corporate Lead Generation Executive,BTW Visa Services Pvt. Ltd.,In Office  |  Thane,https://unstop.com/jobs/corporate-lead-generation-executive-btw-visa-services-pvt-ltd-1718627,"Jul 15, 2026",Full Time,,"Inside Sales, Business Development, Fresher",corporate-lead-generation-executive-btw-visa-services-pvt-ltd-1718627
Social Media Content Creator,Yoi  Media LLP,In Office  |  Hyderabad,https://unstop.com/jobs/social-media-creator-yoi-media-llp-1718617,"Jul 15, 2026",Full Time,1 -,"Social Media Marketing, Fresher, Experienced Professionals",social-media-creator-yoi-media-llp-1718617
Data Scientist - Analytics & GenAI,KGP Talkie,Work from Home,https://unstop.com/jobs/data-scientist-analytics-genai-kgp-talkie-1718591,"Jul 15, 2026",Full Time,1 -,"Data Science, Fresher, Experienced Professionals",data-scientist-analytics-genai-kgp-talkie-1718591
Business Development Executive,Genius Group Global,In Office  |  Ernakulam,https://unstop.com/jobs/business-development-executive-genius-group-global-1718470,"Jul 15, 2026",Full Time,,"Business Development, Fresher",business-development-executive-genius-group-global-1718470
Creative Designer,Urban Culture,In Office  |  Jaipur,https://unstop.com/jobs/creative-designer-urban-culture-1718442,"Jul 15, 2026",Full Time,1 -,"Graphic Design, Video Editing, Fresher",creative-designer-urban-culture-1718442
Business Development Executive (BDE),Glocert Certifications India Private Limited,In Office  |  Coimbatore,https://unstop.com/jobs/business-development-executive-bde-glocert-certifications-india-private-limited-1718494,"Jul 15, 2026",Full Time,1 -,"B2B Sales, Business Development, Fresher",business-development-executive-bde-glocert-certifications-india-private-limited-1718494
Telesales Executive,First Attempt Skills Training Pvt. Ltd.,In Office  |  Jaipur,https://unstop.com/jobs/telesales-executive-first-attempt-skills-training-pvt-ltd-1718507,"Jul 15, 2026",Full Time,1 -,"Inside Sales, Fresher, Experienced Professionals",telesales-executive-first-attempt-skills-training-pvt-ltd-1718507
Relationship Manager – Car Sales,JobMato,"In Office  |  Chennai, Bangalore",https://unstop.com/jobs/relationship-manager-car-sales-jobmato-1718539,"Jul 15, 2026",Full Time,1 -,"Field Sales, B2C Sales, Sales",relationship-manager-car-sales-jobmato-1718539
Business Development Executive (BDE),Equare Info Solutions,In Office  |  Bangalore,https://unstop.com/jobs/business-development-executive-bde-equare-info-solutions-1718162,"Jul 14, 2026",Full Time,1 -,"Business Development, Fresher, Experienced Professionals",business-development-executive-bde-equare-info-solutions-1718162
Inside Sales Executive,Setindiabiz Private Limited,"In Office  |  Mumbai, Mumbai Suburban, Sion Mumbai",https://unstop.com/jobs/inside-sales-executive-setindiabiz-private-limited-1718215,"Jul 14, 2026",Full Time,,"Inside Sales, Business Development, Fresher",inside-sales-executive-setindiabiz-private-limited-1718215
Field Executive,Global e-Village Services India Limited,In Office  |  Ghaziabad,https://unstop.com/jobs/field-executive-global-e-village-services-india-limited-1718043,"Jul 14, 2026",Full Time,1 -,"Others, Fresher, Experienced Professionals",field-executive-global-e-village-services-india-limited-1718043
Business Development Executive,Proton Expert System and Solutions,In Office  |  Bangalore,https://unstop.com/jobs/business-development-executive-proton-expert-system-and-solutions-1717920,"Jul 14, 2026",Full Time,1 -,"Business Development, B2B Sales, Fresher",business-development-executive-proton-expert-system-and-solutions-1717920
Associate – Sales & Marketing,UPRIO,In Office  |  Delhi,https://unstop.com/jobs/associate-sales-marketing-uprio-1717926,"Jul 14, 2026",Full Time,1 -,"Field Sales, B2C Sales, Sales",associate-sales-marketing-uprio-1717926
Financial Analyst,Sustainify,In Office  |  Bharuch,https://unstop.com/jobs/financial-analyst-sustainify-1717934,"Jul 14, 2026",Full Time,,"Finance, Others, Fresher",financial-analyst-sustainify-1717934
