title,company,location,url,posted_date,job_type,eligibility,skills,source_id
AI Training Specialist (Marathi),Joblet,Work from Home  | Pan India,https://unstop.com/jobs/ai-training-specialist-marathi-joblet-1724177,"Jul 24, 2026",Full Time,1 -,"Model Training & Evaluation, NLP Engineering, Fresher",ai-training-specialist-marathi-joblet-1724177
AI Language Evaluator (Bengali),Joblet,Work from Home  | Pan India,https://unstop.com/jobs/ai-language-evaluator-bengali-joblet-1724175,"Jul 24, 2026",Full Time,1 -,"NLP Engineering, Fresher, Experienced Professionals",ai-language-evaluator-bengali-joblet-1724175
Sales Internship,Sabpaisa,Work from Home,https://unstop.com/jobs/sales-internship-sabpaisa-1723969,"Jul 23, 2026",Full Time,,"Sales, Business Development, Undergraduate",sales-internship-sabpaisa-1723969
Inside Sales Executive,Avatu Pvt. Ltd.,"Hybrid  |  Mumbai, Pune, Indore, Bangalore",https://unstop.com/jobs/inside-sales-executive-avatu-pvt-ltd-1723907,"Jul 23, 2026",Full Time,1 -,"Inside Sales, Experienced Professionals, Fresher",inside-sales-executive-avatu-pvt-ltd-1723907
Business Development Executive (BDE),LMES Academy,In Office  |  Chennai,https://unstop.com/jobs/business-development-executive-bde-lmes-academy-1723453,"Jul 23, 2026",Full Time,1 -,"Inside Sales, Business Development, Fresher",business-development-executive-bde-lmes-academy-1723453
Software Support Executive,Dahlia Technologies Pvt. Ltd.,In Office  |  Ahmedabad,https://unstop.com/jobs/software-support-executive-dahlia-technologies-pvt-ltd-1723629,"Jul 22, 2026",Full Time,,"Customer Support, Technical Support, Fresher",software-support-executive-dahlia-technologies-pvt-ltd-1723629
Diploma Trainee – Electrical & Electronics Engineering,Ardens Business Solution,In Office  |  Sriperumbudur,https://unstop.com/jobs/diploma-trainee-electrical-electronics-engineering-ardens-business-solution-1723615,"Jul 22, 2026",Full Time,,"Electrical Engineer, Fresher",diploma-trainee-electrical-electronics-engineering-ardens-business-solution-1723615
Video Editor,Cheesewalk,In Office  |  Mumbai,https://unstop.com/jobs/video-editor-cheesewalk-1723382,"Jul 22, 2026",Full Time,,"Video Editing, Fresher",video-editor-cheesewalk-1723382
Creative Designer,Advero Ads,Work from Home,https://unstop.com/jobs/creative-designer-advero-ads-1722803,"Jul 21, 2026",Part Time,,"Graphic Design, Video Editing, Fresher",creative-designer-advero-ads-1722803
Business Development Executive,Hireyy,Work from Home,https://unstop.com/jobs/business-development-executive-hireyy-1722798,"Jul 21, 2026",Full Time,,"Business Development, Fresher, Experienced Professionals",business-development-executive-hireyy-1722798
B2B Business Development Associate,Teleperformance global Pvt ltd,"In Office  |  Malkajgiri, Hyderabad, Secunderabad",https://unstop.com/jobs/b2b-business-development-associate-neosales-consulting-pvt-ltd-1722753,"Jul 21, 2026",Full Time,,"B2B Sales, Business Development, Fresher",b2b-business-development-associate-neosales-consulting-pvt-ltd-1722753
Admission Counsellor,Zell Education,"In Office  |  Bangalore, Bangalore Rural, Bangalore Urban",https://unstop.com/jobs/admission-counsellor-zell-education-1722667,"Jul 21, 2026",,1 -,"Business Development, Fresher, Experienced Professionals",admission-counsellor-zell-education-1722667
Telecaller Executive,Abishree HR Consultants,In Office  |  Bangalore,https://unstop.com/jobs/telecaller-executive-abishree-hr-consultants-1722544,"Jul 21, 2026",Full Time,1 -,"Inside Sales, Fresher, Experienced Professionals",telecaller-executive-abishree-hr-consultants-1722544
Business Partner Executive,Tekzow,On Field  |  Bangalore,https://unstop.com/jobs/business-partner-executive-tekzow-1722267,"Jul 20, 2026",Part Time,1 -,"Business Development, Fresher, Experienced Professionals",business-partner-executive-tekzow-1722267
Video Annotator Executive,AquSag Technologies,Work from Home,https://unstop.com/jobs/video-annotator-executive-aqusag-technologies-1722287,"Jul 20, 2026",,1 -,"Model Training & Evaluation, Fresher, Experienced Professionals",video-annotator-executive-aqusag-technologies-1722287
Business Development Executive,Brightchamps Edutech Company,In Office  |  Bangalore,https://unstop.com/jobs/business-development-executive-brightchamps-edutech-company-1722216,"Jul 20, 2026",Full Time,1 -,"Business Development, Fresher, Experienced Professionals",business-development-executive-brightchamps-edutech-company-1722216
Sales & Marketing Executive,Samarth Security Systems,"In Office  |  Navi Mumbai, Mumbai",https://unstop.com/jobs/sales-marketing-executive-samarth-security-systems-1722096,"Jul 20, 2026",Full Time,,"Sales, General Marketing, Business Development",sales-marketing-executive-samarth-security-systems-1722096
Consultant,Leverage Edu,"In Office  |  Noida, Delhi",https://unstop.com/jobs/consultant-leverage-edu-1720306,"Jul 20, 2026",Full Time,,"Inside Sales, Client Servicing, Everyone can apply",consultant-leverage-edu-1720306
